ExitSpeed,VExitAngle,HExitAngle,Cluster
94.76783,-12.51153,-14.17522,2
83.58881,-14.90481,11.3057,3
100.6317,-32.89865,-33.87745,1
75.27657,-17.51455,-27.54497,1
88.13715,-21.48636,1.256942,3
83.89333,-3.631067,5.334164,3
91.66131,-10.73875,-22.61374,2
69.44275,-26.82257,12.95008,4
97.32035,-18.4272,6.352651,3
84.87042,-14.88742,-31.21815,1
112.3648,-3.003519,-11.49025,2
76.76444,-4.380821,8.927217,3
76.54381,-5.401844,-19.63982,0
75.10683,-23.81711,-17.97505,4
79.61752,-24.31336,-31.68447,1
73.30818,1.490011,-34.84818,1
89.38474,-7.386429,-22.48105,2
104.1373,-4.071944,3.752041,3
98.39397,4.249607,-17.68089,2
101.8946,-16.77103,7.679489,3
77.85042,-9.033679,4.681931,3
66.23189,-26.87905,-7.547475,4
95.59824,1.026323,-16.35156,2
100.4491,-5.222068,8.894,3
67.61919,-16.78377,-33.62027,1
89.85554,-4.995049,-3.796709,3
104.7686,-1.049315,-20.85887,2
93.50738,5.301461,2.890971,3
104.612,-0.4507644,-34.57812,2
94.14751,-0.5493719,-37.38735,1
96.47978,-14.77505,40.09592,3
92.83737,-5.383834,-14.93532,2
90.33257,2.198851,-7.64485,0
86.83978,-8.229769,-9.309587,2
109.5985,2.326876,-9.568599,2
81.77267,-16.53747,-43.01243,1
97.64268,-4.149713,-27.96157,2
88.24338,7.705238,-14.29186,0
69.68227,-16.04843,5.471759,4
88.30782,-11.85293,-41.0489,1
102.3564,-24.1758,-19.74442,2
97.45981,-10.87631,-16.08671,2
86.52417,6.693167,-18.53779,0
73.2192,-5.428154,-12.34347,0
84.26739,-16.79374,-46.59047,1
94.57211,0.2372203,8.667572,3
97.79691,-14.00987,-41.66025,1
106.2068,1.083953,-33.6038,2
101.6202,-2.129182,-37.90073,2
66.3901,-6.880458,-35.28031,1
78.44634,-7.915307,-8.903154,0
93.83012,-0.2055832,-39.41584,1
75.74823,9.134455,-11.77867,0
97.49014,-19.46597,-12.21887,2
88.98104,4.169796,-36.35548,1
69.46035,0.9285419,-1.791623,0
105.9506,-9.27916,-9.155614,2
86.3391,-11.06714,-11.49449,2
81.79585,8.14083,-15.30047,0
96.73137,-32.50937,-31.77805,1
88.24693,-24.78436,-24.49971,1
91.01684,-21.50319,-19.73656,2
84.31693,-7.675101,17.08834,3
99.18102,5.574834,2.445197,3
81.53683,-1.750854,-1.045585,0
89.40475,-7.459308,-24.15598,2
99.43135,-17.74684,-44.03278,1
87.72658,0.673405,-5.624619,0
81.97902,-15.1104,-37.42465,1
100.2773,-16.67397,-2.52896,3
87.87009,-5.65668,2.993407,3
100.3538,1.163382,-13.35754,2
95.83848,-32.36983,-55.64448,1
106.3485,-15.91284,-37.11037,2
90.3021,-14.47977,-17.47629,2
49.51667,4.067228,-33.26484,0
92.49209,-11.25988,-22.09467,2
84.68208,-20.35234,15.80545,3
102.5043,-2.731788,-17.60706,2
90.48387,-6.596599,-15.32463,2
98.55112,1.902327,14.90541,3
103.6987,-1.530487,-14.62985,2
62.9875,-10.17093,-41.2224,1
84.93754,-18.69132,-34.77202,1
80.59068,-8.874062,-16.44065,0
72.29255,-13.54763,-39.92363,1
55.12172,-67.11224,32.87958,4
74.96703,-13.58535,-32.81685,1
80.76456,-3.22552,-37.03934,1
88.70921,-15.09007,-10.32026,2
76.04161,3.542212,-1.459708,0
88.26595,-3.200673,-34.25148,1
95.99962,5.475405,4.301193,3
89.37408,-27.98434,-38.50037,1
79.13715,-13.53906,-39.03626,1
103.2533,2.956589,-28.36355,2
91.13099,-4.464095,-15.69415,2
84.24173,-16.28472,-11.29654,2
83.64172,-5.981151,-19.44039,0
71.23875,-17.77378,-34.47265,1
72.72636,-35.3257,-48.54313,1
64.98395,2.406186,-7.647902,0
99.22124,-3.498183,-9.106185,2
89.79916,-17.66783,-39.13708,1
90.73814,0.7978141,9.901651,3
95.89922,-21.91292,-18.80602,2
94.7071,-1.658915,-21.08642,2
61.96082,17.0582,-6.671089,0
84.80939,-19.08473,-15.54109,2
43.15437,-14.40515,10.11396,4
87.3454,-18.02594,-20.66497,2
56.9272,-11.97709,-1.735947,4
109.732,-2.886604,-20.60555,2
102.1085,-11.47007,-19.69014,2
95.33028,-3.158726,-9.910603,2
96.85637,-4.24622,-3.425528,3
70.64876,2.37247,-12.2016,0
107.5514,-8.136468,5.07055,3
67.97414,-11.17401,-8.376907,0
98.23022,-20.18413,-7.541563,2
91.91417,-20.46569,-42.17575,1
84.81393,3.98836,-21.42541,0
96.0383,-15.92001,-9.31783,2
92.40565,-6.50288,-31.41794,1
84.25222,-23.77442,-20.92194,1
83.99869,-17.58323,9.909607,3
65.74319,-19.26357,-17.96098,4
108.4329,3.772603,-33.20726,2
56.29779,16.71005,3.473133,0
95.76156,-19.97614,-35.51748,1
85.46225,1.915077,-7.743841,0
88.40073,1.971025,-15.44456,2
88.16571,-1.087704,-31.92586,1
94.79945,-25.76852,-9.965667,2
81.40804,-36.39301,1.136853,4
87.69765,3.896109,7.852417,3
79.93496,9.894933,-15.52779,0
90.33338,2.736752,-8.684275,2
93.07494,-12.67238,-16.60879,2
94.6699,-7.557365,-41.80315,1
63.23048,9.937073,-8.583315,0
98.70801,-2.095881,-6.868887,2
106.147,-18.6908,-15.77346,2
110.1404,-21.17951,-40.42587,1
64.32941,-21.55962,7.607093,4
93.57809,-44.52228,-2.254679,4
104.1455,-18.20204,9.989989,3
101.2918,-10.99821,-14.7337,2
77.52,-13.81841,1.850291,4
72.80153,-13.75357,-40.39725,1
76.33482,10.83473,-7.550938,0
92.97829,-16.51681,16.82463,3
100.8537,-19.42988,-22.68609,2
106.3708,-1.501942,-38.70872,2
88.74589,-5.855203,-7.821033,2
106.7394,3.847707,4.912819,3
98.33037,-12.6288,8.470348,3
80.21821,-11.87698,-13.92652,0
101.0627,1.107683,-37.47671,2
97.47745,-27.81814,-45.91631,1
90.60762,-5.383307,-20.25966,2
72.84843,-29.40469,-44.29047,1
57.81225,-12.38176,-2.513202,4
68.18199,7.643086,-14.4706,0
86.56857,-20.08353,-38.50431,1
88.16312,-1.630879,6.735385,3
73.61565,6.126381,-20.99594,0
95.79155,-15.17177,-36.90261,1
72.5527,8.819865,-11.42149,0
65.77164,-29.71983,-15.51813,4
90.55345,-9.517604,-25.43629,2
92.2373,-4.787484,-33.37257,1
98.97442,3.10649,-17.48825,2
87.60026,-14.64603,-44.35926,1
87.30627,-16.18803,-23.6616,1
100.5034,-12.18917,12.6998,3
99.23631,-5.597492,-19.38804,2
104.1805,-6.037913,8.778854,3
97.53304,-8.98529,-36.35043,1
100.7266,0.5271971,-13.61823,2
97.20425,-1.509811,-12.13077,2
82.88067,-3.13021,-10.29521,0
51.24582,-3.51001,-3.970458,0
98.90333,-23.67376,-5.637139,3
99.22795,3.627178,-30.89491,2
106.2362,4.7619,-25.51417,2
61.45377,-25.39845,57.7409,4
96.01928,1.897894,-32.2443,2
74.52629,-14.05035,-13.9925,0
89.53454,-7.583201,-13.34818,2
99.82826,-9.466907,-30.38392,2
102.5326,-4.576781,-29.52859,2
86.07013,-17.7179,-18.30929,2
78.61938,4.70443,-37.93716,1
84.38596,-3.358115,-22.26572,0
73.1598,7.099371,-35.30902,0
99.01962,0.1176305,-16.95122,2
81.02608,2.206071,-2.240472,0
85.18536,-9.507422,-26.94475,1
77.31465,-39.69122,-56.0663,1
100.7165,3.215807,-19.96838,2
107.4075,-15.19497,-15.53128,2
106.3159,-2.370159,-13.87427,2
106.2566,6.138231,-15.44564,2
77.34505,7.246521,-14.80704,0
88.2814,-18.44058,-21.19,2
108.9022,-12.35704,-1.392442,3
92.81474,3.58741,-32.32517,2
60.16041,-39.1561,-46.19549,1
65.34854,-10.14719,-34.69641,1
74.3389,-12.60094,-23.51782,1
69.53246,-20.26976,-11.08299,4
74.89148,-0.5293363,-18.41308,0
99.97295,5.668782,-17.57493,2
73.47078,-27.12955,-33.072,1
83.35686,-26.1307,-15.90637,4
101.4111,-7.968807,-28.60711,2
99.77821,3.267717,1.938668,3
105.5973,-8.324221,-21.14002,2
66.27185,3.32514,-4.904077,0
97.33455,1.992019,-23.35436,2
91.07688,-17.72808,-16.1352,2
91.22664,-11.40152,-34.96614,1
88.0512,-20.07877,1.365262,3
93.72691,-13.87502,-16.37516,2
78.62436,-10.68269,-43.14475,1
100.2977,-14.50885,-14.0635,2
81.28007,-18.3902,-28.88113,1
91.07336,-22.94996,3.486685,3
71.36162,-21.81287,-18.01845,4
87.41002,-15.11786,-17.95559,2
103.4875,-0.6501775,-10.70358,2
99.47742,-18.04154,-31.35003,1
70.81349,1.640058,-22.7008,0
70.54478,0.3265337,-9.351385,0
104.0562,0.04925017,-18.3909,2
91.76292,-24.47168,-15.22926,2
79.83569,10.06201,-23.24287,0
88.42537,-17.87283,9.391088,3
93.59576,-9.264508,-10.62069,2
104.3646,-3.242504,6.014302,3
91.61394,-8.473281,-15.01255,2
81.47631,-5.945086,-6.570414,0
82.32086,-20.89389,-15.69752,4
87.72622,-14.9651,-25.68169,1
112.1203,2.557039,-12.59366,2
95.01295,2.419845,-33.24017,2
82.51854,-10.9339,-16.2967,0
73.18297,1.845312,-13.71334,0
81.38131,0.1138546,-3.709039,0
71.50371,1.312782,-31.58434,0
73.91328,-0.8739087,-18.36335,0
82.26342,-0.4566334,-20.29608,0
98.85319,-6.466628,-38.48879,1
107.5426,-6.705328,-7.449234,2
