ExitSpeed,VExitAngle,HExitAngle,Cluster
58.849,-60.00167,35.54131,0
93.02082,5.158878,33.51723,3
102.2264,-14.92005,-22.4605,3
100.5291,-6.949957,-10.54169,3
92.90886,-23.81613,44.52756,1
92.96119,-13.11903,29.17052,1
102.6347,-3.685696,-7.017145,3
96.21296,-3.030884,38.81422,1
99.4114,-5.748628,-4.181529,3
104.3104,3.047621,21.75611,3
63.32339,-40.54371,1.433937,0
80.1776,-14.86726,12.49955,0
60.16362,71.11703,34.03903,2
106.7977,-20.37966,19.96783,3
65.81256,-5.699458,1.941528,2
101.7312,-18.1166,7.534849,3
93.56701,-12.05938,22.67199,1
102.4982,-6.723886,17.85707,3
70.03608,0.2927637,18.10335,2
97.46731,-15.22054,10.65803,3
54.11505,23.32023,12.83714,2
102.8757,-1.117544,10.40175,3
71.68031,-5.862026,16.91543,2
108.8514,-11.22483,16.39344,3
103.0097,-2.333963,28.43774,3
72.14478,8.47451,-3.832311,2
97.12107,-14.87656,1.183553,3
104.1151,5.481714,9.842247,3
102.8899,4.951881,23.21296,3
78.27407,-7.443841,18.91719,2
96.19747,-2.391186,16.98751,3
70.90539,-19.18469,5.134347,0
96.40033,7.399978,9.848091,3
101.6807,5.349297,20.76859,3
81.3024,-6.425949,29.31079,1
99.30919,-15.22792,3.00089,3
79.9061,-15.72323,26.39318,1
96.42676,-4.021675,22.42225,3
85.67374,-14.81286,9.754478,0
93.9184,-23.56532,33.77287,1
68.13245,-17.64147,5.605649,0
94.92014,-30.13439,13.09835,0
73.11552,-1.440486,38.9663,1
97.58416,-23.06714,21.59018,1
92.31429,-18.31683,20.32636,1
90.48367,7.832207,16.25184,3
95.11343,-1.697206,18.5204,3
93.5957,-1.272722,-24.56931,3
90.63084,0.1485254,-5.267024,3
84.1481,-0.20858,11.3081,2
89.85474,-12.08911,17.66045,3
71.66483,4.63622,9.399295,2
79.69524,-7.619746,5.36746,2
85.13524,-26.16573,-1.91755,0
85.22137,-5.581607,7.429799,2
105.2044,-8.69033,0.5804471,3
74.96657,-6.468992,12.59074,2
92.97534,5.833235,21.3902,3
79.71667,-7.692347,46.24984,1
77.01521,-15.80718,41.67737,1
93.78758,3.251781,24.88607,3
78.40285,-9.886482,16.16273,2
85.1431,-6.830188,29.48815,1
99.80952,2.686172,7.906585,3
74.84846,-10.93535,42.88334,1
102.0823,0.4739338,-1.737029,3
70.9214,-12.17784,5.790079,2
98.9724,-11.12216,13.21116,3
89.91693,-8.165384,45.31659,1
93.78056,-12.70194,49.16323,1
91.25767,4.068967,-12.29002,3
69.85383,1.560186,35.71849,2
76.17854,-7.542017,-15.83196,2
101.5466,-12.98693,-2.044652,3
101.7733,-14.86587,-5.658607,3
85.1082,5.169523,10.29137,2
100.6398,-15.81861,-12.37789,3
99.48177,-7.792523,15.14715,3
76.50243,-12.2484,49.95947,1
80.57069,4.462492,-5.388846,2
92.01656,-11.87555,16.01768,3
100.1271,1.643255,35.19946,3
81.48191,-1.257588,31.29304,1
93.6432,-13.14289,-9.843317,3
57.1394,-16.97169,-28.6049,0
98.90063,4.484812,15.43393,3
91.74129,1.790855,20.30836,3
64.8049,6.075498,13.58492,2
83.6701,-10.03839,9.79004,2
101.2044,-33.18582,29.2397,1
97.25687,0.6384257,19.44981,3
79.84588,-8.121424,22.93421,1
79.9465,1.844443,10.03159,2
93.58942,-2.12988,-24.26361,3
93.88162,3.93913,5.037961,3
92.29113,-8.94488,37.27082,1
95.00915,-20.88865,-27.71194,0
87.99852,-19.17031,19.84001,1
75.04961,-1.543213,38.06584,1
84.27507,-2.788312,16.93661,2
99.23899,6.210031,-8.779876,3
97.26606,-5.361238,18.411,3
103.4198,-21.07396,8.72108,3
95.79214,-5.742728,16.07211,3
96.88378,-10.97203,25.53195,3
81.7336,-0.9336954,-3.366842,2
81.5076,-24.35504,-2.299299,0
69.76952,3.20751,11.19614,2
38.34554,-18.18241,8.074419,0
86.62344,-18.24865,44.75391,1
69.42633,-4.689231,-1.800045,2
79.11337,-15.93641,0.259121,0
85.13264,-1.008727,10.18354,2
98.25491,-13.76944,-4.908906,3
100.5776,-5.404713,12.63086,3
98.92145,-4.117795,-11.11984,3
81.84451,-5.098876,8.67232,2
92.13758,-1.845535,19.58014,3
76.77289,-5.051984,28.31367,1
95.50316,-8.47516,40.27156,1
95.2249,-14.08581,1.728092,3
85.38568,-7.543718,0.8987726,3
89.43056,-23.4388,43.65727,1
94.23468,-1.521019,3.846387,3
92.60246,-18.86165,14.55486,3
87.22688,1.644129,3.000758,2
52.70489,-12.68789,-3.148827,2
61.08552,-29.52383,-20.25149,0
67.46613,-22.87082,-6.21398,0
99.82193,-17.7547,13.83842,3
102.0681,1.220667,22.30201,3
105.8245,-5.940018,17.51099,3
90.05492,4.644541,-9.444654,3
93.8835,-13.7701,28.0946,1
79.34138,4.358656,41.485,1
99.46806,3.593752,20.73892,3
96.42169,-17.72038,3.279915,3
107.3841,-2.229064,-8.460195,3
67.07648,6.36303,-8.244232,2
94.98611,0.6713082,-4.328233,3
98.19181,7.18873,10.57233,3
74.8203,6.926432,9.416241,2
101.8046,-7.747891,26.70529,3
73.89395,-3.505478,2.850588,2
101.0263,-3.430179,4.317205,3
102.5861,-11.67869,-4.352705,3
83.19052,-23.0197,9.380355,0
98.59732,6.502377,30.26571,3
94.88663,-11.27026,41.81017,1
88.94723,1.8165,40.49504,1
89.96368,7.691652,17.27586,3
110.1376,-7.983575,11.1802,3
94.30608,-16.75764,24.02551,1
78.71402,-17.35621,42.78049,1
92.28939,-27.04435,11.61153,0
81.59843,-3.457177,-4.518816,2
22.98871,48.39404,11.23252,2
97.50951,6.771284,7.820195,3
83.64304,3.499395,-10.0272,2
81.13766,4.957644,11.27487,2
96.84682,-23.1439,-25.95001,0
86.51682,8.265174,12.60803,2
99.58939,-15.74032,-12.68849,3
100.342,-2.621789,7.216615,3
73.36123,3.72902,9.430346,2
81.21511,-5.408511,42.64425,1
53.60781,-22.93594,2.771478,0
92.05119,-16.4702,-7.525097,0
95.28281,6.473406,-7.960623,3
103.1026,-6.108408,26.3912,3
89.48472,3.164617,2.591778,3
93.99289,-16.70388,18.69138,3
93.59644,-6.312886,34.81116,1
102.844,-6.817774,-3.853469,3
104.4624,5.752706,20.68219,3
90.46092,-31.27262,9.387065,0
107.8819,0.5677722,17.4027,3
99.45509,-7.863831,6.249084,3
99.26568,2.275172,9.993342,3
100.5621,-10.29457,45.00662,1
88.41247,-10.21894,7.60921,3
73.7822,-0.3362306,14.3334,2
88.48227,2.429587,8.129508,3
75.47188,0.4015699,-0.8110899,2
82.9368,-11.56193,45.16516,1
66.58791,-20.13585,8.238565,0
88.14795,-6.176006,7.319373,3
98.99887,-14.86678,21.29545,3
107.3729,-1.963525,9.703411,3
71.21785,4.229045,-13.35821,2
101.4051,-15.88606,9.456307,3
95.47573,-18.28129,10.31456,3
73.38738,-5.076371,-7.072502,2
96.76228,-8.815402,39.39767,1
102.5619,-7.712371,15.73475,3
89.27,-12.02662,2.900856,3
103.6831,7.221083,25.28358,3
66.44736,-11.15889,48.85136,1
89.67274,5.205411,6.097099,3
90.50555,-29.57071,-2.019946,0
100.8776,4.776845,9.518123,3
103.9027,-8.01217,9.604573,3
97.26846,-14.04795,44.21481,1
68.84325,-32.12502,0.1010628,0
100.3816,-6.703104,22.28246,3
79.80312,-2.886232,12.65696,2
103.29,0.1130635,21.09716,3
102.2157,-11.54716,46.85089,1
89.68401,3.238677,23.88802,3
91.8063,-29.8234,41.57046,1
103.5819,-25.57798,17.03409,3
92.35556,-3.200864,43.54531,1
100.6835,-18.67618,-3.60665,3
74.60449,1.498389,-24.70255,2
70.73533,-5.875976,3.297986,2
90.89075,-18.87699,12.13948,0
88.52094,-22.40089,-4.267639,0
98.45145,-1.442576,26.77048,3
87.02999,2.247403,1.421651,2
89.76332,-15.742,40.21808,1
78.43878,1.548706,10.41477,2
80.01092,9.339833,-2.026641,2
84.06691,5.852058,20.87395,2
98.48461,-18.06116,4.586968,3
91.23,-12.45842,-16.76122,3
94.57504,-1.181473,36.17532,1
77.86823,-4.170473,30.80081,1
84.07761,6.157668,-2.7455,2
93.80453,1.01411,0.8534669,3
105.2089,2.77805,-5.62945,3
93.30194,-13.42436,15.79208,3
75.92743,-3.623178,5.078542,2
99.36755,-18.04772,17.56917,3
104.6283,-6.997528,-4.479116,3
97.96461,-13.21887,13.42987,3
94.88004,-21.32852,53.14025,1
88.0107,-7.19226,21.62783,1
74.36702,-2.270808,17.29237,2
83.28645,5.99662,3.903088,2
69.17756,-14.89026,-2.308596,0
92.21116,-16.00785,52.41778,1
109.8587,-30.76098,9.4953,3
102.0842,6.645794,-15.38109,3
93.13866,-9.8838,8.539443,3
103.8938,3.779291,-3.501239,3
91.52162,-11.42385,7.403509,3
73.78906,-21.38592,0.4929022,0
76.48145,-15.19259,52.06326,1
91.76251,-9.661548,-0.6273338,3
96.15987,-17.57203,-4.645795,3
100.7616,-10.00182,13.41257,3
93.1759,-3.311448,7.898221,3
72.18816,10.35923,11.39881,2
96.40794,-19.38429,40.78699,1
102.8401,6.020836,8.645999,3
97.85778,-5.631837,20.14032,3
100.0289,-16.00043,5.949578,3
85.8156,-17.90018,-0.3251692,0
76.57418,-5.074774,45.4451,1
61.0294,5.064844,-5.043548,2
88.16034,-1.586034,-28.65241,2
72.65124,-27.07985,2.892285,0
101.3116,-1.149789,38.86406,1
103.5622,1.973532,-4.808707,3
98.12341,-5.584059,25.18432,3
99.70905,-23.70212,13.8819,3
78.99715,-4.928786,35.30121,1
99.87895,-16.56982,-6.42428,3
92.36147,6.329186,-4.225323,3
93.57819,-6.538626,38.29525,1
103.3605,-10.91508,17.8452,3
100.1084,-10.75619,29.63563,1
100.5599,-17.8568,29.34161,1
82.75849,-24.80721,-9.964122,0
92.58925,-12.18586,12.02269,3
81.91077,-13.82913,42.93085,1
108.8598,2.819251,24.44638,3
83.64163,-4.300138,20.62811,2
70.63204,-15.45546,7.39712,0
80.237,3.339657,28.27911,2
95.70301,-4.26314,14.08274,3
100.043,-17.42874,17.21373,3
101.8376,-21.62666,13.97737,3
85.37029,-11.74597,-7.847672,0
96.8505,4.249827,-3.877723,3
98.84808,5.616367,1.795373,3
80.09824,5.492321,-1.724772,2
95.54488,-9.009275,-23.54359,3
83.13284,-22.12156,33.18997,1
98.19587,-11.66061,3.444715,3
94.88922,-1.963965,38.73163,1
106.1084,-14.95065,-8.052692,3
44.0938,18.38314,9.189659,2
97.10542,-27.14764,3.481663,0
89.55235,-13.49601,35.51257,1
94.65489,-6.325153,39.10815,1
103.6088,5.401425,20.04216,3
95.15453,-1.767993,19.47104,3
91.29359,3.651553,16.7588,3
80.30708,-33.51385,4.230114,0
71.0015,-10.80533,-3.106069,2
109.87,-17.00604,26.123,3
96.11039,-33.01822,-5.974658,0
105.8682,7.943408,11.43461,3
86.33834,-7.570951,19.58286,3
88.11701,-12.47818,47.83204,1
97.31268,-10.80258,27.60642,1
74.78311,-29.01719,17.34468,0
77.52678,-5.471146,-23.97561,2
97.88935,-16.09232,10.88392,3
92.22308,-13.62125,46.79966,1
77.50353,-26.97079,6.111277,0
96.50515,-12.94535,22.60095,3
107.0648,4.500573,-6.992905,3
92.75221,-14.24032,43.27066,1
103.0759,5.26303,14.80359,3
76.6972,6.252729,6.390844,2
85.45744,-13.46459,25.51764,1
101.6575,-5.278938,-9.40806,3
98.59864,-16.27408,21.86956,3
54.43584,-44.11394,27.51529,0
68.16756,-28.07504,10.78985,0
104.0994,-26.94036,-10.41987,0
85.82034,-20.73708,-33.4383,0
103.0567,-8.969049,29.93863,3
91.44713,-20.74323,13.74228,0
94.73843,-20.92399,15.59087,3
104.6368,2.299401,12.02934,3
82.97695,-3.648777,19.92447,2
102.1813,-5.932445,-0.6139222,3
98.38767,-3.903945,-4.679542,3
100.0798,-8.17698,9.675224,3
62.56554,-9.635526,39.96328,1
103.4756,0.3864664,4.517983,3
102.7191,1.410202,9.427802,3
89.65971,-17.51269,-11.35472,0
88.86814,-17.77571,22.1616,1
79.78146,-9.751733,46.08845,1
76.86446,-19.61069,19.82163,0
99.91634,-12.47054,10.02091,3
76.11045,7.969485,13.62292,2
76.04095,6.677639,3.827542,2
88.25316,-19.21483,-19.01672,0
100.0004,-34.90903,-5.376198,0
99.51089,-8.325078,19.87189,3
79.68168,-27.62416,-0.5387919,0
92.74799,-33.40454,18.67322,0
93.61353,-11.31385,41.35892,1
101.8508,4.493427,26.81522,3
68.97836,-3.509014,-23.49784,2
108.4306,-1.969912,14.12314,3
98.54035,-20.47548,2.905884,3
72.38332,-8.673745,-8.22664,2
79.26392,4.750442,5.03648,2
105.0608,-4.753499,14.591,3
28.99477,-73.94504,-144.1763,0
99.16232,2.37856,15.1058,3
62.27194,-54.58105,36.23208,0
96.56702,1.132423,19.71881,3
84.34697,1.553179,-0.3626267,2
93.06715,3.79678,19.28215,3
75.55879,8.308194,9.77254,2
103.3336,0.5201207,19.33218,3
96.59037,-14.54468,29.00561,1
93.43188,-8.426058,13.38821,3
104.0699,-14.64378,6.193059,3
68.29893,-16.97751,41.14803,1
64.27658,7.833237,10.59911,2
98.40668,-16.14708,-0.3682897,3
97.02576,3.371889,6.11652,3
64.18878,-5.623106,1.459195,2
83.31171,-12.32801,23.94352,1
101.1831,-14.38003,15.12229,3
93.44571,-3.377223,27.03072,3
79.14505,-35.4052,-0.4828829,0
105.3318,3.33259,13.38583,3
99.28545,-3.192559,7.266702,3
94.47163,-4.015763,-2.291768,3
74.73637,-28.77222,-0.1303177,0
98.20197,-11.49213,6.755563,3
78.09779,-5.403683,11.80383,2
108.045,-2.767764,16.27184,3
88.07443,1.000994,22.82978,3
59.69346,5.242032,39.6447,2
96.44759,-8.011215,14.33763,3
100.5243,-1.258569,-6.751853,3
78.3183,0.7247212,-26.43406,2
81.55099,0.05375555,16.35008,2
87.74158,-9.098207,12.03123,3
76.737,1.277815,-4.203131,2
48.04529,-19.14119,-50.12978,0
99.92936,-8.904468,3.306837,3
88.63419,-27.76179,11.02644,0
85.72407,-5.174537,10.21367,3
90.31692,-1.131205,12.14086,3
96.51455,7.087012,23.06978,3
98.32468,-13.86381,11.781,3
81.4716,-13.36942,-3.016726,0
77.91299,5.170648,0.2220846,2
61.37288,-18.40137,-4.379247,0
100.7274,1.839438,19.51879,3
81.8567,-12.36174,12.03275,0
107.0192,-15.10017,45.53139,1
95.55479,-24.57561,-6.78289,0
102.7478,-30.86455,45.16707,1
63.76051,-26.93246,-26.99479,0
92.9424,-0.6873015,-24.77235,3
105.4538,-11.20238,20.48277,3
94.36781,-20.58392,25.02901,1
98.32843,3.76281,1.109191,3
76.76793,-5.231164,9.922603,2
90.04546,-15.11449,46.61595,1
99.30159,-15.35121,5.498049,3
38.05633,-18.53962,-8.464141,0
103.3349,-3.726042,25.31635,3
98.66937,2.792717,-7.279166,3
72.07346,-7.517199,31.96246,1
84.34145,-22.9408,49.0277,1
95.54215,1.554728,-12.20264,3
79.03509,-5.216048,-8.23668,2
95.6767,-0.7372308,12.34599,3
100.2086,-0.3845927,19.0341,3
104.2355,-15.1255,8.634845,3
66.27761,-8.142182,20.98685,2
78.83832,6.517212,24.26062,2
80.73647,-22.53638,23.65668,1
86.99066,-11.86473,8.434371,3
81.78894,-17.91114,31.62681,1
96.15912,-3.467518,16.8364,3
89.99509,-7.162019,38.80376,1
94.7179,-2.75333,40.74527,1
73.53036,-42.47182,-24.73603,0
100.4117,-33.17514,13.15044,0
102.4133,3.751253,14.12519,3
95.42278,0.8717709,-7.201828,3
97.98207,0.8608165,-9.939584,3
78.04434,0.371336,1.988186,2
92.57006,-6.307855,23.57997,3
106.3221,5.982322,15.81203,3
97.86141,-17.84081,22.67626,1
84.18551,1.022417,-11.49657,2
93.0678,3.404872,-6.914196,3
101.7292,-5.165473,20.28615,3
72.763,-6.979408,-3.46771,2
104.83,-7.212605,-8.863969,3
93.60609,5.620308,11.43397,3
70.8567,-3.599595,8.076787,2
102.4131,-21.0393,26.67028,1
101.3117,1.164775,20.82911,3
92.15699,-4.410787,19.97858,3
75.86359,-3.45593,17.48977,2
78.77033,-30.91113,-1.703902,0
97.57579,0.3565536,21.15739,3
95.51553,-10.13035,2.011074,3
104.4796,-11.17144,35.4252,1
56.31037,-22.54191,-21.56031,0
87.71152,-10.49391,28.93376,1
90.21123,8.423996,-9.967545,2
91.28064,-33.60076,34.09648,1
104.3077,3.181749,7.061197,3
70.16364,-12.0804,19.08569,2
103.9102,-6.019577,10.09848,3
93.87177,-3.413908,24.98849,3
70.81909,-47.24418,-16.52989,0
81.98711,-7.689923,13.94423,2
89.68964,-4.88024,7.606599,3
99.91293,3.171292,-7.035442,3
99.60697,1.737814,-5.117657,3
106.4406,-4.915143,38.42069,3
103.8606,0.7561409,25.6971,3
83.67403,-11.39513,-5.023276,0
73.94558,-2.093231,-17.00778,2
91.49909,-21.92191,12.61526,0
78.95452,-1.052724,24.29194,2
90.28239,-19.42125,37.78379,1
94.02437,-0.748566,17.20555,3
76.97855,8.116494,20.45995,2
95.73901,-19.20357,15.41416,3
103.5098,-29.81178,19.97516,1
100.356,-1.265006,-9.432769,3
96.84032,-22.52618,35.33554,1
86.14919,0.7046643,38.98624,1
99.97053,-18.64827,1.909045,3
91.77796,-16.47771,11.01869,3
71.78661,4.929852,16.86865,2
89.86185,-20.57913,35.56398,1
102.8722,-10.31491,39.68608,1
103.8467,-2.556698,6.840874,3
90.05694,4.224075,7.885006,3
98.47885,-6.983834,-24.08238,3
111.1591,3.022145,1.270855,3
88.08322,-8.022425,21.11521,1
78.73027,-6.335721,8.970557,2
70.95815,-13.67066,34.87361,1
93.52619,-3.615534,1.538289,3
66.22222,-26.05007,-0.3882511,0
83.36712,-2.786576,27.20128,1
100.4364,1.523374,13.76704,3
102.1604,1.258998,7.200637,3
78.40274,5.092179,-0.3508059,2
89.26652,0.9922156,2.985691,3
91.04449,-7.232405,23.38724,3
94.22037,-13.00521,22.77236,1
65.18012,3.40602,8.539249,2
88.24866,-8.049775,5.788273,3
102.7053,-12.53774,-1.792631,3
72.98567,1.648507,11.00634,2
96.20612,-3.054558,-9.618953,3
88.25597,-1.947019,31.43709,1
84.45953,-18.204,43.41265,1
92.20993,-7.643399,21.27716,3
96.37073,-11.63746,-0.3031432,3
88.66801,2.605822,-16.34359,2
48.90716,12.69351,41.14157,2
100.5341,0.3670597,21.96042,3
99.2642,6.179054,15.71882,3
102.8743,-5.010371,22.29063,3
92.09718,-1.870585,21.56001,3
101.3496,0.6370014,24.80427,3
