ExitSpeed,VExitAngle,HExitAngle,Cluster
88.29332,-27.07036,7.563,2
62.49425,-44.67686,-8.952704,2
94.53717,-10.98787,-18.45067,0
82.41342,-1.14653,-22.82145,3
103.8936,-6.230552,-21.66549,0
97.59043,-0.9555371,-4.37595,0
72.10906,11.90535,-3.047894,3
91.58438,-5.80917,-22.0718,0
90.08463,-13.54048,-1.838337,2
94.53802,-16.19312,-31.9624,1
103.9512,-24.54655,-9.953374,0
74.88602,-10.33857,-13.62877,3
67.11035,-16.83201,-39.26858,1
96.75642,-14.86585,-6.587288,0
92.33102,-5.859895,-7.23421,0
100.1158,-3.1685,-31.5201,0
73.71877,7.856905,-3.33078,3
98.40402,5.163404,-14.61579,0
104.9654,-2.06719,-34.62112,0
83.15674,-10.41751,-8.486636,3
107.933,-11.46105,14.98915,0
81.11193,-13.51115,-13.34375,2
73.63351,-30.23627,9.648332,2
87.46181,4.777937,-10.99181,3
96.3963,-23.65024,39.04939,2
99.16263,-11.01838,-11.25986,0
92.58194,-13.36323,10.37637,2
93.62255,3.148768,-37.30728,0
98.48835,1.470057,-18.3513,0
96.6236,-16.09147,-40.84109,1
89.20039,-16.9377,-25.30656,1
77.55013,-26.63869,-14.3961,2
89.23412,-18.39324,-4.401797,2
70.43732,3.820497,-4.13155,3
69.97102,3.447093,-4.166696,3
91.8968,-2.28285,-32.37542,0
95.89935,-7.612476,-12.93284,0
72.85771,-5.759122,-37.84756,3
87.91044,1.150412,-8.377925,3
92.25406,-17.32673,-42.38446,1
71.17132,-19.78044,-12.6552,2
59.21194,7.64177,-9.262693,3
103.2709,-8.532167,-14.6338,0
74.55094,8.163287,-13.44543,3
99.92005,-2.942356,5.196655,0
105.5567,-4.956558,1.073745,0
92.9093,6.438844,-10.37313,0
90.63636,-21.46275,-4.071079,2
90.31324,5.25412,-34.40012,0
104.6134,1.626838,-36.99394,0
92.67953,0.6830574,-36.04483,0
102.513,-1.201376,-38.71288,0
53.7752,-2.602513,24.85636,3
78.271,1.892736,-25.74769,3
100.9415,-9.503017,-32.54021,0
102.8533,-5.402571,-6.084309,0
63.90435,15.45022,-9.147293,3
76.35392,-15.85025,-2.06674,2
86.86998,-12.94398,-30.27728,1
84.65658,-13.30827,-23.95402,1
90.91428,-1.41671,-2.925781,0
103.3135,-25.39851,-18.91142,1
81.08231,-2.223554,-9.716716,3
88.47088,-16.36995,1.664632,2
32.22502,32.32947,-65.13847,3
100.7483,-2.582231,5.547731,0
92.20931,-23.83689,2.886119,2
83.32079,-6.044921,-30.68326,1
95.46365,-12.88764,-12.40975,0
97.34074,-13.04476,-19.03605,0
99.28811,-1.391959,-31.41329,0
103.1542,5.349451,10.47428,0
81.36477,0.1948122,-21.58797,3
80.83955,4.740815,-32.8454,3
88.13935,-17.43042,-24.35608,1
72.36467,5.503999,-6.271003,3
85.37658,-6.099778,-17.34905,3
41.9803,-45.82983,16.68545,2
100.3661,0.8808554,-16.88243,0
88.62492,-20.55976,-38.04693,1
92.71349,6.497762,-13.00733,0
100.4264,2.691943,-29.67899,0
61.6924,-11.54632,-42.41495,1
94.05208,-7.070879,-5.786397,0
94.10259,2.58268,-33.10085,0
98.45264,-6.031981,16.62948,0
76.26336,-1.004794,0.350031,3
92.65962,-13.47979,5.882259,2
79.26953,3.484952,-15.64836,3
101.2365,-0.9910092,-37.56088,0
104.0369,-11.69771,-12.4198,0
81.72319,-31.22493,-41.75546,1
87.37919,-7.376817,10.87722,2
78.79672,-23.3351,-9.199334,2
104.9,0.8894503,-31.87462,0
81.44328,3.704993,-12.57036,3
98.15575,-18.04007,15.22046,2
97.79783,-21.0969,10.39107,2
79.50424,-28.25734,-31.91473,1
89.07748,0.6531975,-36.99424,0
105.0706,-6.113284,-33.69909,0
90.72192,4.970827,-20.24601,0
93.53126,-16.36479,-10.58712,0
78.3349,-10.27588,-36.09804,1
109.1188,-18.88002,-11.00451,0
88.83519,-25.9193,-41.42406,1
81.49425,-24.90933,0.4506829,2
81.40717,3.501067,-30.84574,3
103.5838,-2.071333,-40.36789,0
103.194,-4.680261,5.861885,0
97.6125,-5.422558,-15.20404,0
103.1242,2.004958,-11.5285,0
101.4853,-20.18033,-19.87613,0
80.33626,0.09203925,-17.55085,3
89.12385,-14.53429,-21.79692,1
89.45734,-3.196001,-11.26622,0
107.1527,2.649446,-34.84279,0
85.6871,-2.527108,-16.75039,3
78.06525,-1.277971,-19.95188,3
99.17899,-16.18139,-13.01531,0
104.3396,-7.264531,-7.812476,0
95.32908,-21.15045,-15.23353,1
71.15813,-13.79287,-10.47952,3
105.4932,0.5057563,-36.46019,0
83.62746,-7.275596,5.313562,2
76.71348,7.177139,-30.05274,3
82.13005,-33.70847,-34.81373,1
100.2007,-5.534937,-9.699916,0
103.6051,-26.30955,-45.71767,1
94.76783,-12.51153,-14.17522,0
83.58881,-14.90481,11.3057,2
100.6317,-32.89865,-33.87745,1
75.27657,-17.51455,-27.54497,1
88.13715,-21.48636,1.256942,2
83.89333,-3.631067,5.334164,3
91.66131,-10.73875,-22.61374,0
69.44275,-26.82257,12.95008,2
97.32035,-18.4272,6.352651,2
84.87042,-14.88742,-31.21815,1
112.3648,-3.003519,-11.49025,0
76.76444,-4.380821,8.927217,3
76.54381,-5.401844,-19.63982,3
75.10683,-23.81711,-17.97505,1
79.61752,-24.31336,-31.68447,1
73.30818,1.490011,-34.84818,3
89.38474,-7.386429,-22.48105,0
104.1373,-4.071944,3.752041,0
98.39397,4.249607,-17.68089,0
101.8946,-16.77103,7.679489,2
77.85042,-9.033679,4.681931,2
66.23189,-26.87905,-7.547475,2
