ExitSpeed,VExitAngle,HExitAngle,Cluster
99.91634,-12.47054,10.02091,0
76.11045,7.969485,13.62292,1
76.04095,6.677639,3.827542,1
88.25316,-19.21483,-19.01672,3
100.0004,-34.90903,-5.376198,2
99.51089,-8.325078,19.87189,0
79.68168,-27.62416,-0.5387919,2
92.74799,-33.40454,18.67322,2
93.61353,-11.31385,41.35892,4
101.8508,4.493427,26.81522,0
68.97836,-3.509014,-23.49784,3
108.4306,-1.969912,14.12314,0
98.54035,-20.47548,2.905884,3
72.38332,-8.673745,-8.22664,1
79.26392,4.750442,5.03648,1
105.0608,-4.753499,14.591,0
28.99477,-73.94504,-144.1763,3
99.16232,2.37856,15.1058,0
62.27194,-54.58105,36.23208,2
96.56702,1.132423,19.71881,0
84.34697,1.553179,-0.3626267,1
93.06715,3.79678,19.28215,0
75.55879,8.308194,9.77254,1
103.3336,0.5201207,19.33218,0
96.59037,-14.54468,29.00561,0
93.43188,-8.426058,13.38821,0
104.0699,-14.64378,6.193059,0
68.29893,-16.97751,41.14803,4
64.27658,7.833237,10.59911,1
98.40668,-16.14708,-0.3682897,3
97.02576,3.371889,6.11652,0
64.18878,-5.623106,1.459195,1
83.31171,-12.32801,23.94352,0
101.1831,-14.38003,15.12229,0
93.44571,-3.377223,27.03072,0
79.14505,-35.4052,-0.4828829,2
105.3318,3.33259,13.38583,0
99.28545,-3.192559,7.266702,0
94.47163,-4.015763,-2.291768,3
74.73637,-28.77222,-0.1303177,2
98.20197,-11.49213,6.755563,0
78.09779,-5.403683,11.80383,1
108.045,-2.767764,16.27184,0
88.07443,1.000994,22.82978,0
59.69346,5.242032,39.6447,4
96.44759,-8.011215,14.33763,0
100.5243,-1.258569,-6.751853,3
78.3183,0.7247212,-26.43406,3
81.55099,0.05375555,16.35008,1
87.74158,-9.098207,12.03123,0
76.737,1.277815,-4.203131,1
48.04529,-19.14119,-50.12978,3
99.92936,-8.904468,3.306837,0
88.63419,-27.76179,11.02644,2
85.72407,-5.174537,10.21367,1
90.31692,-1.131205,12.14086,0
96.51455,7.087012,23.06978,0
98.32468,-13.86381,11.781,0
81.4716,-13.36942,-3.016726,3
77.91299,5.170648,0.2220846,1
61.37288,-18.40137,-4.379247,2
100.7274,1.839438,19.51879,0
81.8567,-12.36174,12.03275,2
107.0192,-15.10017,45.53139,4
95.55479,-24.57561,-6.78289,3
102.7478,-30.86455,45.16707,4
63.76051,-26.93246,-26.99479,2
92.9424,-0.6873015,-24.77235,3
105.4538,-11.20238,20.48277,0
94.36781,-20.58392,25.02901,0
98.32843,3.76281,1.109191,3
76.76793,-5.231164,9.922603,1
90.04546,-15.11449,46.61595,4
99.30159,-15.35121,5.498049,0
38.05633,-18.53962,-8.464141,2
103.3349,-3.726042,25.31635,0
98.66937,2.792717,-7.279166,3
72.07346,-7.517199,31.96246,4
84.34145,-22.9408,49.0277,4
95.54215,1.554728,-12.20264,3
79.03509,-5.216048,-8.23668,3
95.6767,-0.7372308,12.34599,0
100.2086,-0.3845927,19.0341,0
104.2355,-15.1255,8.634845,0
66.27761,-8.142182,20.98685,1
78.83832,6.517212,24.26062,1
80.73647,-22.53638,23.65668,2
86.99066,-11.86473,8.434371,0
81.78894,-17.91114,31.62681,4
96.15912,-3.467518,16.8364,0
89.99509,-7.162019,38.80376,4
94.7179,-2.75333,40.74527,4
73.53036,-42.47182,-24.73603,2
100.4117,-33.17514,13.15044,2
102.4133,3.751253,14.12519,0
95.42278,0.8717709,-7.201828,3
97.98207,0.8608165,-9.939584,3
78.04434,0.371336,1.988186,1
92.57006,-6.307855,23.57997,0
106.3221,5.982322,15.81203,0
97.86141,-17.84081,22.67626,0
84.18551,1.022417,-11.49657,3
93.0678,3.404872,-6.914196,3
101.7292,-5.165473,20.28615,0
72.763,-6.979408,-3.46771,1
104.83,-7.212605,-8.863969,3
93.60609,5.620308,11.43397,0
70.8567,-3.599595,8.076787,1
102.4131,-21.0393,26.67028,0
101.3117,1.164775,20.82911,0
92.15699,-4.410787,19.97858,0
75.86359,-3.45593,17.48977,1
78.77033,-30.91113,-1.703902,2
97.57579,0.3565536,21.15739,0
95.51553,-10.13035,2.011074,3
104.4796,-11.17144,35.4252,4
56.31037,-22.54191,-21.56031,2
87.71152,-10.49391,28.93376,4
90.21123,8.423996,-9.967545,3
91.28064,-33.60076,34.09648,4
104.3077,3.181749,7.061197,0
70.16364,-12.0804,19.08569,1
103.9102,-6.019577,10.09848,0
93.87177,-3.413908,24.98849,0
70.81909,-47.24418,-16.52989,2
81.98711,-7.689923,13.94423,1
89.68964,-4.88024,7.606599,0
99.91293,3.171292,-7.035442,3
99.60697,1.737814,-5.117657,3
106.4406,-4.915143,38.42069,4
103.8606,0.7561409,25.6971,0
83.67403,-11.39513,-5.023276,3
73.94558,-2.093231,-17.00778,3
91.49909,-21.92191,12.61526,2
78.95452,-1.052724,24.29194,1
90.28239,-19.42125,37.78379,4
94.02437,-0.748566,17.20555,0
76.97855,8.116494,20.45995,1
95.73901,-19.20357,15.41416,0
103.5098,-29.81178,19.97516,0
100.356,-1.265006,-9.432769,3
96.84032,-22.52618,35.33554,4
86.14919,0.7046643,38.98624,4
99.97053,-18.64827,1.909045,3
91.77796,-16.47771,11.01869,0
71.78661,4.929852,16.86865,1
89.86185,-20.57913,35.56398,4
102.8722,-10.31491,39.68608,4
103.8467,-2.556698,6.840874,0
90.05694,4.224075,7.885006,0
98.47885,-6.983834,-24.08238,3
111.1591,3.022145,1.270855,3
88.08322,-8.022425,21.11521,0
78.73027,-6.335721,8.970557,1
70.95815,-13.67066,34.87361,4
93.52619,-3.615534,1.538289,3
66.22222,-26.05007,-0.3882511,2
83.36712,-2.786576,27.20128,0
100.4364,1.523374,13.76704,0
102.1604,1.258998,7.200637,0
78.40274,5.092179,-0.3508059,1
89.26652,0.9922156,2.985691,3
91.04449,-7.232405,23.38724,0
94.22037,-13.00521,22.77236,0
65.18012,3.40602,8.539249,1
88.24866,-8.049775,5.788273,0
102.7053,-12.53774,-1.792631,3
72.98567,1.648507,11.00634,1
96.20612,-3.054558,-9.618953,3
88.25597,-1.947019,31.43709,4
84.45953,-18.204,43.41265,4
92.20993,-7.643399,21.27716,0
96.37073,-11.63746,-0.3031432,3
88.66801,2.605822,-16.34359,3
48.90716,12.69351,41.14157,1
100.5341,0.3670597,21.96042,0
99.2642,6.179054,15.71882,0
102.8743,-5.010371,22.29063,0
92.09718,-1.870585,21.56001,0
101.3496,0.6370014,24.80427,0
111.6243,0.4897797,-0.6792967,3
89.89505,-0.266692,-27.27858,3
70.57976,5.02671,11.29622,1
80.11378,-25.35733,-15.77595,2
64.42444,-4.248565,1.875946,1
99.36687,-1.064966,33.2897,0
97.84341,-16.4229,43.80006,4
98.44372,-13.01351,16.05366,0
58.11916,16.41808,1.575065,1
67.5626,1.363232,10.55188,1
93.85377,2.935932,-2.857217,3
98.51434,-0.9292529,24.87953,0
82.606,4.354602,8.343255,1
96.54039,-3.277224,17.39329,0
79.54879,-16.8782,37.98511,4
78.81052,-13.12407,45.70272,4
72.99671,-20.52892,43.41785,4
90.95243,-14.12914,43.88713,4
90.41577,-25.6841,21.79197,2
90.58181,2.326376,17.21114,0
107.7752,2.75682,-2.897458,3
